Well;Position;Cell_id
1;1;525
1;1;526
1;1;527
1;1;528
1;1;529
1;1;530
1;1;531
1;1;532
1;2;843
1;2;844
1;2;845
1;2;846
1;2;847
1;2;848
1;2;849
1;2;850
1;3;1000
1;3;1001
1;3;1002
1;3;1003
1;3;1004
1;3;1005
1;3;1006
1;3;1007
1;3;1008
1;3;1009
1;4;1081
1;4;1082
1;4;1083
1;4;1084
1;4;1085
1;4;1086
1;5;1087
1;5;1088
1;5;1089
1;5;1090
1;5;1091
1;5;1092
1;6;1093
1;6;1094
1;6;1095
1;6;1096
1;6;1097
1;6;1098
1;6;1099
1;6;1100
1;6;1101
1;7;1102
1;7;1103
1;7;1104
1;7;1105
1;7;1106
1;7;1107
1;7;1108
1;7;1109
1;7;1110
1;7;1111
1;8;1112
1;8;1113
1;8;1114
1;8;1115
1;8;1116
1;8;1117
1;8;1118
1;9;1119
1;9;1120
1;9;1121
1;9;1122
1;9;1123
1;9;1124
1;9;1125
1;10;1
1;10;2
1;10;3
1;10;4
1;10;5
1;10;6
1;10;7
1;10;8
1;12;9
1;12;10
1;12;11
2;17;379
2;17;380
2;17;381
2;17;382
2;17;383
2;17;384
2;17;385
2;17;386
2;17;387
2;17;388
2;18;450
2;18;451
2;18;452
2;18;453
2;18;454
2;19;519
2;19;520
2;19;521
2;19;522
2;19;523
2;19;524
2;20;550
2;20;551
2;20;552
2;20;553
2;20;554
2;20;555
2;20;556
2;21;557
2;21;558
2;21;559
2;21;560
2;21;561
2;22;562
2;22;563
2;22;564
2;22;565
2;22;566
2;22;567
2;22;568
2;23;569
2;23;570
2;23;571
2;23;572
2;23;573
2;23;574
2;23;575
2;23;576
2;24;577
2;24;578
2;24;579
2;24;580
2;24;581
2;25;582
2;25;583
2;25;584
2;25;585
2;25;586
2;25;587
2;25;588
2;25;589
2;25;590
2;25;591
2;26;592
2;26;593
2;26;594
2;26;595
2;27;644
2;27;645
2;27;646
2;27;647
2;27;648
2;27;649
2;27;650
2;27;651
2;27;652
2;27;653
2;27;654
2;27;655
2;27;656
2;28;735
2;28;736
2;28;737
2;28;738
2;29;839
2;29;840
2;29;841
2;29;842
2;30;925
2;30;926
2;30;927
2;30;928
2;30;929
2;31;930
2;31;931
2;31;932
2;31;933
2;31;934
2;31;935
2;31;936
2;31;937
2;31;938
3;32;939
3;32;940
3;32;941
3;32;942
3;32;943
3;32;944
3;32;945
3;32;946
3;33;947
3;33;948
3;33;949
3;33;950
3;33;951
3;33;952
3;33;953
3;33;954
3;33;955
3;34;956
3;34;957
3;34;958
3;34;959
3;34;960
3;34;961
3;34;962
3;35;963
3;35;964
3;35;965
3;35;966
3;35;967
3;36;968
3;36;969
3;36;970
3;36;971
3;36;972
3;37;973
3;37;974
3;37;975
3;37;976
3;37;977
3;37;978
3;37;979
3;37;980
3;37;981
3;37;982
3;38;983
3;38;984
3;38;985
3;38;986
3;38;987
3;38;988
3;38;989
3;38;990
3;38;991
3;38;992
3;39;993
3;39;994
3;39;995
3;39;996
3;39;997
3;39;998
3;39;999
3;40;1010
3;40;1011
3;40;1012
3;40;1013
3;40;1014
3;40;1015
3;40;1016
3;40;1017
3;40;1018
3;41;1019
3;41;1020
3;41;1021
3;41;1022
3;41;1023
3;41;1024
3;42;1025
3;42;1026
3;42;1027
3;42;1028
3;42;1029
3;42;1030
3;42;1031
3;42;1032
3;42;1033
3;42;1034
3;42;1035
3;42;1036
3;42;1037
3;42;1038
3;43;1039
3;43;1040
3;43;1041
3;43;1042
3;43;1043
3;43;1044
3;43;1045
3;43;1046
3;43;1047
3;43;1048
3;43;1049
3;43;1050
3;44;1051
3;44;1052
3;44;1053
3;44;1054
3;44;1055
3;44;1056
3;44;1057
3;44;1058
3;44;1059
3;44;1060
3;45;1061
3;45;1062
3;45;1063
3;45;1064
3;45;1065
3;45;1066
3;45;1067
3;45;1068
3;45;1069
3;46;1070
3;46;1071
3;46;1072
3;46;1073
3;46;1074
3;46;1075
3;46;1076
3;46;1077
3;46;1078
3;46;1079
3;46;1080
10;130;12
10;130;13
10;130;14
10;131;15
10;131;16
10;131;17
10;132;18
10;132;19
10;132;20
10;132;21
10;132;22
10;132;23
10;132;24
10;132;25
10;133;26
10;133;27
10;133;28
10;133;29
10;133;30
10;133;31
10;133;32
10;133;33
10;133;34
10;134;35
10;134;36
10;134;37
10;134;38
10;134;39
10;134;40
10;134;41
10;135;42
10;135;43
10;135;44
10;135;45
10;135;46
10;135;47
10;135;48
10;135;49
10;136;50
10;136;51
10;136;52
10;137;53
10;137;54
10;137;55
10;137;56
10;137;57
10;138;58
10;138;59
10;138;60
10;138;61
10;138;62
10;138;63
10;138;64
10;139;65
10;139;66
10;140;67
10;140;68
10;140;69
10;140;70
10;140;71
10;140;72
10;141;73
10;141;74
10;141;75
10;141;76
10;141;77
10;141;78
10;141;79
10;141;80
10;141;81
10;141;82
10;141;83
10;141;84
11;142;85
11;142;86
11;142;87
11;142;88
11;142;89
11;142;90
11;142;91
11;142;92
11;143;93
11;143;94
11;143;95
11;143;96
11;143;97
11;143;98
11;143;99
11;143;100
11;144;101
11;144;102
11;144;103
11;144;104
11;144;105
11;144;106
11;145;107
11;145;108
11;145;109
11;145;110
11;145;111
11;145;112
11;146;113
11;146;114
11;146;115
11;146;116
11;146;117
11;146;118
11;146;119
11;147;120
11;147;121
11;147;122
11;147;123
11;147;124
11;147;125
11;147;126
11;147;127
11;147;128
11;148;129
11;148;130
11;148;131
11;148;132
11;148;133
11;148;134
11;148;135
11;148;136
11;148;137
11;148;138
11;148;139
11;148;140
11;149;141
11;149;142
11;149;143
11;149;144
11;149;145
11;149;146
11;149;147
11;149;148
11;149;149
11;150;150
11;150;151
11;150;152
11;150;153
11;150;154
11;150;155
11;150;156
11;151;157
11;151;158
11;151;159
11;151;160
11;151;161
11;151;162
11;152;163
11;152;164
11;152;165
11;152;166
11;152;167
11;152;168
11;152;169
11;153;170
11;153;171
11;153;172
11;153;173
11;153;174
11;153;175
11;153;176
11;153;177
11;153;178
11;153;179
11;153;180
11;153;181
11;153;182
11;153;183
12;154;184
12;154;185
12;154;186
12;154;187
12;154;188
12;154;189
12;155;190
12;155;191
12;155;192
12;155;193
12;155;194
12;155;195
12;156;196
12;156;197
12;156;198
12;156;199
12;156;200
12;156;201
12;156;202
12;156;203
12;156;204
12;157;205
12;157;206
12;157;207
12;157;208
12;157;209
12;157;210
12;157;211
12;157;212
12;158;213
12;158;214
12;158;215
12;158;216
12;158;217
12;158;218
12;158;219
12;158;220
12;158;221
12;158;222
12;158;223
12;159;224
12;159;225
12;159;226
12;159;227
12;159;228
12;159;229
12;159;230
12;159;231
12;159;232
12;159;233
12;160;234
12;160;235
12;160;236
12;160;237
12;160;238
12;160;239
12;160;240
12;161;241
12;161;242
12;161;243
12;161;244
12;161;245
12;161;246
12;161;247
12;161;248
12;162;249
12;162;250
12;162;251
12;162;252
12;163;253
12;163;254
12;163;255
12;163;256
12;163;257
12;164;258
12;164;259
12;164;260
12;164;261
12;164;262
12;164;263
12;164;264
12;164;265
12;164;266
12;164;267
12;165;268
12;165;269
12;165;270
12;165;271
12;165;272
12;165;273
13;166;274
13;166;275
13;166;276
13;166;277
13;166;278
13;166;279
13;167;280
13;167;281
13;167;282
13;167;283
13;167;284
13;167;285
13;167;286
13;168;287
13;168;288
13;168;289
13;168;290
13;168;291
13;168;292
13;168;293
13;168;294
13;168;295
13;168;296
13;169;297
13;169;298
13;169;299
13;169;300
13;169;301
13;169;302
13;169;303
13;169;304
13;169;305
13;169;306
13;170;307
13;170;308
13;171;309
13;171;310
13;171;311
13;171;312
13;171;313
13;171;314
13;171;315
13;171;316
13;171;317
13;171;318
13;171;319
13;171;320
13;172;321
13;172;322
13;172;323
13;172;324
13;172;325
13;172;326
13;172;327
13;172;328
13;173;329
13;173;330
13;173;331
13;173;332
13;173;333
13;173;334
13;173;335
13;173;336
13;173;337
13;173;338
13;173;339
13;173;340
13;174;341
13;174;342
13;174;343
13;174;344
13;175;345
13;175;346
13;175;347
13;175;348
13;175;349
13;175;350
13;176;351
13;176;352
13;176;353
13;176;354
13;176;355
13;176;356
13;176;357
13;177;358
13;177;359
13;177;360
13;177;361
13;177;362
13;177;363
13;177;364
13;177;365
13;177;366
13;177;367
14;178;368
14;178;369
14;178;370
14;178;371
14;178;372
14;179;373
14;179;374
14;179;375
14;179;376
14;179;377
14;179;378
14;180;389
14;180;390
14;180;391
14;180;392
14;181;393
14;181;394
14;181;395
14;181;396
14;181;397
14;181;398
14;181;399
14;181;400
14;181;401
14;181;402
14;181;403
14;181;404
14;181;405
14;181;406
14;182;407
14;182;408
14;182;409
14;182;410
14;182;411
14;182;412
14;182;413
14;183;414
14;183;415
14;183;416
14;183;417
14;184;418
14;184;419
14;184;420
14;184;421
14;184;422
14;184;423
14;185;424
14;185;425
14;185;426
14;185;427
14;186;428
14;186;429
14;186;430
14;186;431
14;186;432
14;187;433
14;187;434
14;187;435
14;188;436
14;188;437
14;188;438
14;188;439
14;188;440
14;189;441
14;189;442
14;189;443
14;189;444
14;189;445
14;189;446
14;189;447
14;189;448
14;189;449
15;190;455
15;190;456
15;190;457
15;190;458
15;190;459
15;190;460
15;190;461
15;191;462
15;191;463
15;191;464
15;191;465
15;191;466
15;191;467
15;192;468
15;192;469
15;192;470
15;192;471
15;192;472
15;192;473
15;193;474
15;193;475
15;193;476
15;193;477
15;193;478
15;194;479
15;194;480
15;194;481
15;194;482
15;194;483
15;194;484
15;194;485
15;194;486
15;194;487
15;195;488
15;195;489
15;195;490
15;195;491
15;195;492
15;195;493
15;195;494
15;195;495
15;196;496
15;196;497
15;196;498
15;196;499
15;196;500
15;197;501
15;197;502
15;197;503
15;197;504
15;197;505
15;197;506
15;197;507
15;197;508
15;198;509
15;198;510
15;198;511
15;198;512
15;198;513
15;199;514
15;199;515
15;199;516
15;199;517
15;199;518
15;200;533
15;200;534
15;200;535
15;200;536
15;200;537
15;200;538
15;200;539
15;200;540
15;200;541
15;200;542
15;200;543
15;201;544
15;201;545
15;201;546
15;201;547
15;201;548
15;201;549
22;274;596
22;274;597
22;274;598
22;274;599
22;274;600
22;274;601
22;274;602
22;274;603
22;274;604
22;275;605
22;275;606
22;275;607
22;275;608
22;275;609
22;275;610
22;275;611
22;275;612
22;276;613
22;276;614
22;276;615
22;276;616
22;276;617
22;276;618
22;276;619
22;276;620
22;276;621
22;276;622
22;277;623
22;277;624
22;277;625
22;277;626
22;278;627
22;278;628
22;278;629
22;278;630
22;278;631
22;278;632
22;278;633
22;278;634
22;279;635
22;279;636
22;279;637
22;279;638
22;279;639
22;279;640
22;279;641
22;279;642
22;279;643
22;280;657
22;280;658
22;280;659
22;280;660
22;280;661
22;281;662
22;281;663
22;281;664
22;281;665
22;281;666
22;282;667
22;282;668
22;282;669
22;282;670
22;283;671
22;283;672
22;283;673
22;283;674
22;283;675
22;283;676
22;283;677
22;283;678
22;284;679
22;284;680
22;284;681
22;284;682
22;284;683
22;284;684
22;284;685
22;285;686
22;285;687
22;285;688
22;285;689
22;285;690
22;285;691
22;285;692
22;285;693
22;285;694
22;285;695
23;286;696
23;286;697
23;286;698
23;286;699
23;286;700
23;287;701
23;287;702
23;287;703
23;287;704
23;287;705
23;287;706
23;287;707
23;287;708
23;287;709
23;288;710
23;288;711
23;288;712
23;288;713
23;288;714
23;288;715
23;288;716
23;288;717
23;288;718
23;289;719
23;289;720
23;289;721
23;289;722
23;289;723
23;289;724
23;289;725
23;289;726
23;289;727
23;289;728
23;289;729
23;289;730
23;289;731
23;289;732
23;289;733
23;289;734
23;290;739
23;290;740
23;290;741
23;290;742
23;290;743
23;290;744
23;290;745
23;290;746
23;290;747
23;291;748
23;291;749
23;291;750
23;291;751
23;291;752
23;291;753
23;291;754
23;291;755
23;291;756
23;291;757
23;291;758
23;291;759
23;291;760
23;291;761
23;292;762
23;292;763
23;292;764
23;292;765
23;292;766
23;292;767
23;292;768
23;292;769
23;293;770
23;293;771
23;293;772
23;293;773
23;293;774
23;293;775
23;293;776
23;293;777
23;293;778
23;293;779
23;294;780
23;294;781
23;294;782
23;294;783
23;294;784
23;294;785
23;294;786
23;294;787
23;294;788
23;294;789
23;295;790
23;295;791
23;295;792
23;295;793
23;296;794
23;296;795
23;296;796
23;296;797
23;296;798
23;296;799
23;296;800
24;297;801
24;297;802
24;297;803
24;297;804
24;297;805
24;297;806
24;297;807
24;297;808
24;297;809
24;297;810
24;297;811
24;297;812
24;297;813
24;297;814
24;298;815
24;298;816
24;298;817
24;298;818
24;298;819
24;298;820
24;298;821
24;298;822
24;298;823
24;298;824
24;298;825
24;299;826
24;299;827
24;299;828
24;299;829
24;299;830
24;299;831
24;299;832
24;299;833
24;299;834
24;299;835
24;299;836
24;299;837
24;299;838
24;300;851
24;300;852
24;300;853
24;300;854
24;300;855
24;300;856
24;300;857
24;300;858
24;300;859
24;301;860
24;301;861
24;301;862
24;301;863
24;301;864
24;301;865
24;301;866
24;301;867
24;301;868
24;301;869
24;302;870
24;302;871
24;302;872
24;302;873
24;302;874
24;302;875
24;302;876
24;302;877
24;303;878
24;303;879
24;303;880
24;304;881
24;304;882
24;304;883
24;304;884
24;304;885
24;304;886
24;304;887
24;304;888
24;304;889
24;304;890
24;305;891
24;305;892
24;305;893
24;305;894
24;305;895
24;305;896
24;305;897
24;305;898
24;305;899
24;305;900
24;305;901
24;306;902
24;306;903
24;306;904
24;306;905
24;306;906
24;306;907
24;307;908
24;307;909
24;307;910
24;307;911
24;307;912
24;308;913
24;308;914
24;308;915
24;308;916
24;308;917
24;308;918
24;308;919
24;309;920
24;309;921
24;309;922
24;309;923
24;309;924